Journal Title,Imprint,Print ISSN,Electronic ISSN,Journal URL,Publishing Model,License Options,Subject Areas
International Journal of Social Psychiatry,SAGE,0020-7640,1741-2854,https://journals.sagepub.com/loi/ISP,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
International Journal of Social Psychology,SAGE,0213-4748,1579-3680,https://journals.sagepub.com/loi/SPJ,Hybrid,CC BY,
International Journal of Space Structures,SAGE,0956-0599,2059-8033,https://journals.sagepub.com/loi/SPS,Hybrid,CC BY,Materials Science & Engineering
International Journal of Sport Finance,SAGE,1558-6235,1930-076X,https://journals.sagepub.com/loi/SFJ,Hybrid,CC BY,Business & Management
International Journal of Sports Science & Coaching,SAGE,1747-9541,2048-397X,https://journals.sagepub.com/loi/SPO,Hybrid,CC BY,Sociology
International Journal of Spray and Combustion Dynamics,SAGE,1756-8277,1756-8285,https://journals.sagepub.com/loi/SCD,Hybrid,CC BY,Materials Science & Engineering
International Journal of STD & AIDS,SAGE,0956-4624,1758-1052,https://journals.sagepub.com/loi/STD,Hybrid,CC BY,
International Journal of Stroke,SAGE,1747-4930,1747-4949,https://journals.sagepub.com/loi/WSO,Hybrid,CC BY,Neurology
International Journal of Surgical Pathology,SAGE,1066-8969,1940-2465,https://journals.sagepub.com/loi/IJS,Hybrid,CC BY,Cardiology & Cardiovascular Medicine
International Journal of Toxicology,SAGE,1091-5818,1092-874X,https://journals.sagepub.com/loi/IJT,Hybrid,CC BY,Pharmacology & Toxicology
International Journal of Tryptophan Research,SAGE,1178-6469,1178-6469,https://journals.sagepub.com/loi/TRY,Hybrid,CC BY,Life & Biomedical Sciences
International Materials Reviews,SAGE,0950-6608,1743-2804,https://journals.sagepub.com/loi/INR,Hybrid,CC BY,
International Migration Review,SAGE,0197-9183,1747-7379,https://journals.sagepub.com/loi/MRX,Hybrid,CC BY,Area & Ethnic Studies
International Political Science Abstracts,SAGE,0020-8345,1751-9292,https://journals.sagepub.com/loi/IAB,Hybrid,CC BY,Political Science & International Relations
International Political Science Review,SAGE,0192-5121,1460-373X,https://journals.sagepub.com/loi/IPS,Hybrid,CC BY,Political Science & International Relations
International Regional Science Review,SAGE,0160-0176,1552-6925,https://journals.sagepub.com/loi/IRX,Hybrid,CCBY,"Geography, Earth & Environmental Science"
International Relations,SAGE,0047-1178,1741-2862,https://journals.sagepub.com/loi/IRE,Hybrid,CC BY,Political Science & International Relations
International Review for the Sociology of Sport,SAGE,1012-6902,1461-7218,https://journals.sagepub.com/loi/IRS,Hybrid,CC BY,Sociology
International Review of Administrative Sciences,SAGE,0020-8523,1461-7226,https://journals.sagepub.com/loi/RAS,Hybrid,CCBY,Political Science & International Relations
International Review of Qualitative Research,SAGE,1940-8447,1940-8455,https://journals.sagepub.com/loi/IRQ,Hybrid,CC BY,Research Methods & Evaluation
International Review of Victimology,SAGE,0269-7580,2047-9433,https://journals.sagepub.com/loi/IRV,Hybrid,CC BY,Criminology & Criminal Justice
International Shipbuilding Progress,SAGE,0020-868X,1566-2829,https://journals.sagepub.com/loi/SHP,Hybrid,CC BY,Materials Science & Engineering
International Small Business Journal,SAGE,0266-2426,1741-2870,https://journals.sagepub.com/loi/ISB,Hybrid,CC BY,Business & Management
International Social Work,SAGE,0020-8728,1461-7234,https://journals.sagepub.com/loi/ISW,Hybrid,CCBY,"Psychology, Psychiatry & Counseling"
International Sociology,SAGE,0268-5809,1461-7242,https://journals.sagepub.com/loi/ISS,Hybrid,CC BY,Sociology
International Studies,SAGE,0020-8817,0973-0702,https://journals.sagepub.com/loi/ISQ,Hybrid,CC BY,Political Science & International Relations
International Wood Products Journal,SAGE,2042-6445,2042-6453,https://journals.sagepub.com/loi/IWP,Hybrid,CC BY,
Interpretation,SAGE,0020-9643,2159-340X,https://journals.sagepub.com/loi/INT,Hybrid,CC BY,"Religion, Theology and Biblical Studies"
Intervention in School and Clinic,SAGE,1053-4512,1538-4810,https://journals.sagepub.com/loi/ISC,Hybrid,CC BY,Education
Interventional Neuroradiology,SAGE,1591-0199,2385-2011,https://journals.sagepub.com/loi/INE,Hybrid,CCBY,Clinical Medicine
Irish Economic and Social History,SAGE,0332-4893,2050-4918,https://journals.sagepub.com/loi/IES,Hybrid,CC BY,Area & Ethnic Studies
Irish Journal of Sociology,SAGE,0791-6035,2050-5280,https://journals.sagepub.com/loi/IRJ,Hybrid,CC BY,Sociology
Irish Theological Quarterly,SAGE,0021-1400,1752-4989,https://journals.sagepub.com/loi/ITQ,Hybrid,CC BY,"Religion, Theology and Biblical Studies"
Ironmaking & Steelmaking,SAGE,0301-9233,1743-2812,https://journals.sagepub.com/loi/IST,Hybrid,CC BY,
Isokinetics and Exercise Science,SAGE,0959-3020,1878-5913,https://journals.sagepub.com/loi/ISO,Hybrid,CC BY,Other Health Specialties
Jadavpur Journal of International Relations,SAGE,0973-5984,2349-0047,https://journals.sagepub.com/loi/JNR,Hybrid,CC BY,Political Science & International Relations
JDR Clinical & Translational Research,SAGE,2380-0844,2380-0852,https://journals.sagepub.com/loi/JCT,Hybrid,CC BY,Clinical Medicine
Jindal Management Journal,SAGE,3049-7876,3049-7884,https://journals.sagepub.com/loi/BRJ,Hybrid,CC BY,Business & Management
Journal for the Education of the Gifted,SAGE,0162-3532,2162-9501,https://journals.sagepub.com/loi/JEG,Hybrid,CC BY,Education
Journal for the History of Astronomy,SAGE,0021-8286,1753-8556,https://journals.sagepub.com/loi/JHA,Hybrid,CC BY,History
Journal for the Study of Education and Development,SAGE,0210-3702,1578-4126,https://journals.sagepub.com/loi/IYA,Hybrid,CC BY,
Journal for the Study of the New Testament,SAGE,0142-064X,1745-5294,https://journals.sagepub.com/loi/JNT,Hybrid,CC BY,"Religion, Theology and Biblical Studies"
Journal for the Study of the Old Testament,SAGE,0309-0892,1476-6728,https://journals.sagepub.com/loi/JOT,Hybrid,CC BY,"Religion, Theology and Biblical Studies"
Journal for the Study of the Pseudepigrapha,SAGE,0951-8207,1745-5286,https://journals.sagepub.com/loi/JSP,Hybrid,CC BY,"Religion, Theology and Biblical Studies"
Journal for Vascular Ultrasound,SAGE,1544-3167,1544-3175,https://journals.sagepub.com/loi/JVU,Hybrid,CC BY,Life & Biomedical Sciences
"Journal of Accounting, Auditing & Finance",SAGE,0148-558X,2160-4061,https://journals.sagepub.com/loi/JAF,Hybrid,CC BY,Business & Management
Journal of Adolescent Research,SAGE,0743-5584,1552-6895,https://journals.sagepub.com/loi/JAR,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Journal of Adult and Continuing Education,SAGE,1477-9714,1479-7194,https://journals.sagepub.com/loi/ADU,Hybrid,CC BY,Education
Journal of Advanced Academics,SAGE,1932-202X,2162-9536,https://journals.sagepub.com/loi/JOA,Hybrid,CC BY,Education
Journal of Advanced Oral Research,SAGE,2320-2068,2320-2076,https://journals.sagepub.com/loi/AAD,Hybrid,CC BY,Clinical Medicine
Journal of Advertising Education,SAGE,1098-0482,2516-1873,https://journals.sagepub.com/loi/ADV,Hybrid,CC BY,Marketing & Hospitality
Journal of Aerospace Engineering,SAGE,0954-4100,2041-3025,https://journals.sagepub.com/home/pig,Hybrid,CCBY,
Journal of Aging and Health,SAGE,0898-2643,1552-6887,https://journals.sagepub.com/loi/JAH,Hybrid,CC BY,Aging & Gerontology
Journal of Alternative Finance,SAGE,2753-3743,2753-3743,https://journals.sagepub.com/loi/ALF,Hybrid,CC BY,Business & Management
Journal of Alzheimer’s Disease,SAGE,1387-2877,1875-8908,https://journals.sagepub.com/loi/ALZ,Hybrid,CC BY,Clinical Medicine
Journal of Ambient Intelligence and Smart Environments,SAGE,1876-1364,1876-1372,https://journals.sagepub.com/loi/AIS,Hybrid,CC BY,"Maths, Physics, Chemistry & Computing"
Journal of Applied Gerontology,SAGE,0733-4648,1552-4523,https://journals.sagepub.com/loi/JAG,Hybrid,CC BY,Aging & Gerontology
Journal of Applied Social Science,SAGE,1936-7244,1937-0245,https://journals.sagepub.com/loi/JAX,Hybrid,CC BY,Sociology
Journal of Asian and African Studies,SAGE,0021-9096,1745-2538,https://journals.sagepub.com/loi/JAS,Hybrid,CC BY,Area & Ethnic Studies
Journal of Asian Economic Integration,SAGE,2631-6846,2631-6854,https://journals.sagepub.com/loi/ECI,Hybrid,CC BY,Economics & Development Studies
Journal of Asian Security and International Affairs,SAGE,2347-7970,2349-0039,https://journals.sagepub.com/loi/AIA,Hybrid,CC BY,Political Science & International Relations
Journal of Attention Disorders,SAGE,1087-0547,1557-1246,https://journals.sagepub.com/loi/JAD,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Journal of Automobile Engineering,SAGE,0954-4070,2041-2991,https://journals.sagepub.com/home/pid,Hybrid,CCBY,
Journal of Back and Musculoskeletal Rehabilitation,SAGE,1053-8127,1878-6324,https://journals.sagepub.com/loi/BMR,Hybrid,CC BY,Other Health Specialties
Journal of Berry Research,SAGE,1878-5093,1878-5123,https://journals.sagepub.com/loi/BER,Hybrid,CC BY,Economics & Development Studies
Journal of Bioactive and Compatible Polymers,SAGE,0883-9115,1530-8030,https://journals.sagepub.com/loi/JBC,Hybrid,CC BY,Materials Science & Engineering
Journal of Biological Rhythms,SAGE,0748-7304,1552-4531,https://journals.sagepub.com/loi/JBR,Hybrid,CC BY,Neurology
Journal of Biomaterials Applications,SAGE,0885-3282,1530-8022,https://journals.sagepub.com/loi/JBA,Hybrid,CC BY,Materials Science & Engineering
Journal of Black Psychology,SAGE,0095-7984,1552-4558,https://journals.sagepub.com/loi/JBP,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Journal of Black Studies,SAGE,0021-9347,1552-4566,https://journals.sagepub.com/loi/JBS,Hybrid,CC BY,Area & Ethnic Studies
Journal of Building Physics,SAGE,1744-2591,1744-2583,https://journals.sagepub.com/loi/JEN,Hybrid,CC BY,Materials Science & Engineering
Journal of Business and Technical Communication,SAGE,1050-6519,1552-4574,https://journals.sagepub.com/loi/JBT,Hybrid,CC BY,Business & Management
Journal of Career Assessment,SAGE,1069-0727,1552-4590,https://journals.sagepub.com/loi/JCA,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Journal of Career Development,SAGE,0894-8453,1556-0856,https://journals.sagepub.com/loi/JCD,Hybrid,CC BY,Business & Management
Journal of Cases in Educational Leadership,SAGE,1555-4589,1555-4589,https://journals.sagepub.com/loi/JEL,Hybrid,CC BY,Education
Journal of Cellular Biotechnology,SAGE,2352-3689,2352-3697,https://journals.sagepub.com/loi/CEB,Hybrid,CC BY,Life & Biomedical Sciences
Journal of Cellular Plastics,SAGE,0021-955X,1530-7999,https://journals.sagepub.com/loi/CEL,Hybrid,CC BY,Materials Science & Engineering
Journal of Cerebral Blood Flow & Metabolism,SAGE,0271-678X,1559-7016,https://journals.sagepub.com/loi/JCB,Hybrid,CC BY,Life & Biomedical Sciences
Journal of Child Health Care,SAGE,1367-4935,1741-2889,https://journals.sagepub.com/loi/CHC,Hybrid,CC BY,Other Health Specialties
Journal of Child Neurology,SAGE,0883-0738,1708-8283,https://journals.sagepub.com/loi/JCN,Hybrid,CC BY,Neurology
Journal of Chinese Writing Systems,SAGE,2513-8502,2513-8510,https://journals.sagepub.com/loi/CWS,Hybrid,CC BY,Arts & Humanities
Journal of Classical Sociology,SAGE,1468-795X,1741-2897,https://journals.sagepub.com/loi/JCS,Hybrid,CC BY,Sociology
Journal of Clinical Urology,SAGE,2051-4158,2051-4166,https://journals.sagepub.com/loi/URO,Hybrid,CC BY,Clinical Medicine
Journal of Cognitive Engineering and Decision Making,SAGE,1555-3434,-,https://journals.sagepub.com/loi/EDM,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
"Journal of College Student Retention: Research, Theory & Practice",SAGE,1521-0251,1541-4167,https://journals.sagepub.com/loi/CSR,Hybrid,CC BY,Education
Journal of Communication Inquiry,SAGE,0196-8599,1552-4612,https://journals.sagepub.com/loi/JCI,Hybrid,CC BY,Communication & Media Studies
Journal of Composite Materials,SAGE,0021-9983,1530-793X,https://journals.sagepub.com/loi/JCM,Hybrid,CC BY,Materials Science & Engineering
Journal of Computer Security,SAGE,0926-227X,1875-8924,https://journals.sagepub.com/loi/JCU,Hybrid,CC BY,"Maths, Physics, Chemistry & Computing"
Journal of Conflict Resolution,SAGE,0022-0027,1552-8766,https://journals.sagepub.com/loi/JCR,Hybrid,CC BY,Political Science & International Relations
Journal of Consumer Culture,SAGE,1469-5405,1741-2900,https://journals.sagepub.com/loi/JOC,Hybrid,CC BY,Anthropology & Archaeology
Journal of Contemporary Criminal Justice,SAGE,1043-9862,1552-5406,https://journals.sagepub.com/loi/CCJ,Hybrid,CCBY,Criminology & Criminal Justice
Journal of Contemporary Ethnography,SAGE,0891-2416,1552-5414,https://journals.sagepub.com/loi/JCE,Hybrid,CC BY,Sociology
Journal of Contemporary History,SAGE,0022-0094,1461-7250,https://journals.sagepub.com/loi/JCH,Hybrid,CCBY,History
Journal of Creating Value,SAGE,2394-9643,2454-213X,https://journals.sagepub.com/loi/JCV,Hybrid,CC BY,Business & Management
Journal of Creative Communications,SAGE,0973-2586,0973-2594,https://journals.sagepub.com/loi/CRC,Hybrid,CC BY,Communication & Media Studies
Journal of Criminology,SAGE,2633-8076,2633-8084,https://journals.sagepub.com/loi/ANJ,Hybrid,CC BY,Criminology & Criminal Justice
Journal of Cross-Cultural Psychology,SAGE,0022-0221,1552-5422,https://journals.sagepub.com/loi/JCC,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Journal of Cultural Management and Cultural Policy,SAGE,2701-8466,2701-9276,https://journals.sagepub.com/loi/CUP,Hybrid,CC BY,Business & Management
Journal of Cutaneous Medicine and Surgery,SAGE,1203-4754,1615-7109,https://journals.sagepub.com/loi/CMS,Hybrid,CC BY,Clinical Medicine
Journal of Dance Medicine & Science,SAGE,1089-313X,2374-8060,https://journals.sagepub.com/loi/DMJ,Hybrid,CC BY,
Journal of Dental Research,SAGE,0022-0345,1544-0591,https://journals.sagepub.com/loi/JDR,Hybrid,CC BY,Clinical Medicine
Journal of Developing Societies,SAGE,0169-796X,1745-2546,https://journals.sagepub.com/loi/JDS,Hybrid,CC BY,Economics & Development Studies
Journal of Development Policy and Practice,SAGE,2455-1333,2455-4952,https://journals.sagepub.com/loi/JDP,Hybrid,CCBY,Economics & Development Studies
Journal of Diabetes Science and Technology,SAGE,1932-2968,1932-2968,https://journals.sagepub.com/loi/DST,Hybrid,CC BY,Clinical Medicine
Journal of Diagnostic Medical Sonography,SAGE,8756-4793,1552-5430,https://journals.sagepub.com/loi/JDM,Hybrid,CC BY,Clinical Medicine
Journal of Disability Policy Studies,SAGE,1044-2073,1538-4802,https://journals.sagepub.com/loi/DPS,Hybrid,CC BY,Education
Journal of Drug Education,SAGE,0047-2379,1541-4159,https://journals.sagepub.com/loi/DRE,Hybrid,CC BY,Criminology & Criminal Justice
Journal of Drug Issues,SAGE,0022-0426,1945-1369,https://journals.sagepub.com/loi/JOD,Hybrid,CC BY,Criminology & Criminal Justice
Journal of Early Childhood Literacy,SAGE,1468-7984,1741-2919,https://journals.sagepub.com/loi/ECL,Hybrid,CC BY,Education
Journal of Early Childhood Research,SAGE,1476-718X,1741-2927,https://journals.sagepub.com/loi/ECR,Hybrid,CC BY,Education
Journal of Early Intervention,SAGE,1053-8151,2154-3992,https://journals.sagepub.com/loi/JEI,Hybrid,CC BY,Education
Journal of Economic and Social Measurement,SAGE,0747-9662,1875-8932,https://journals.sagepub.com/loi/JEM,Hybrid,CC BY,Business & Management
Journal of Education,SAGE,0022-0574,2515-5741,https://journals.sagepub.com/loi/JEX,Hybrid,CC BY,Education
Journal of Education for Sustainable Development,SAGE,0973-4082,0973-4074,https://journals.sagepub.com/loi/JSD,Hybrid,CC BY,"Geography, Earth & Environmental Science"
Journal of Educational and Behavioral Statistics,SAGE,1076-9986,1935-1054,https://journals.sagepub.com/loi/JEB,Hybrid,CC BY,Education
Journal of Educational Computing Research,SAGE,0735-6331,1541-4140,https://journals.sagepub.com/loi/JEC,Hybrid,CC BY,Education
Journal of Educational Technology Systems,SAGE,0047-2395,1541-3810,https://journals.sagepub.com/loi/ETS,Hybrid,CC BY,Education
Journal of Elastomers & Plastics,SAGE,0095-2443,1530-8006,https://journals.sagepub.com/loi/JEP,Hybrid,CC BY,Materials Science & Engineering
Journal of Emerging Market Finance,SAGE,0972-6527,0973-0710,https://journals.sagepub.com/loi/EMF,Hybrid,CC BY,Economics & Development Studies
Journal of Emotional and Behavioral Disorders,SAGE,1063-4266,1538-4799,https://journals.sagepub.com/loi/EBX,Hybrid,CC BY,Education
Journal of Empirical Research on Human Research Ethics,SAGE,1556-2646,1556-2654,https://journals.sagepub.com/loi/JRE,Hybrid,CC BY,Research Methods & Evaluation
Journal of Endometriosis and Pelvic Pain Disorders,SAGE,2284-0265,2284-0273,https://journals.sagepub.com/loi/PEV,Hybrid,CC BY,Clinical Medicine
Journal of Endovascular Therapy,SAGE,1526-6028,1545-1550,https://journals.sagepub.com/loi/JET,Hybrid,CC BY,Cardiology & Cardiovascular Medicine
Journal of Engineering for the Maritime Environment,SAGE,1475-0902,2041-3084,https://journals.sagepub.com/home/pim,Hybrid,CCBY,
Journal of Engineering in Medicine,SAGE,0954-4119,2041-3033,https://journals.sagepub.com/home/pih,Hybrid,CCBY,
Journal of Engineering Manufacture,SAGE,0954-4054,2041-2975,https://journals.sagepub.com/home/pib,Hybrid,CCBY,
Journal of Engineering Tribology,SAGE,1350-6501,2041-305X,https://journals.sagepub.com/home/pij,Hybrid,CCBY,
Journal of English Linguistics,SAGE,0075-4242,1552-5457,https://journals.sagepub.com/loi/ENG,Hybrid,CC BY,Language & Linguistics
Journal of Entrepreneurship and Innovation in Emerging Economies,SAGE,2393-9575,2394-9945,https://journals.sagepub.com/loi/EIE,Hybrid,CC BY,Business & Management
Journal of Ethnobiology,SAGE,0278-0771,2162-4496,https://journals.sagepub.com/loi/EBI,Hybrid,CCBY,Anthropology & Archaeology
Journal of European Social Policy,SAGE,0958-9287,1461-7269,https://journals.sagepub.com/loi/ESP,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Journal of European Studies,SAGE,0047-2441,1740-2379,https://journals.sagepub.com/loi/JES,Hybrid,CC BY,Arts & Humanities
Journal of Experiential Education,SAGE,1053-8259,2169-009X,https://journals.sagepub.com/loi/JEE,Hybrid,CC BY,Education
Journal of Family History,SAGE,0363-1990,1552-5473,https://journals.sagepub.com/loi/JFH,Hybrid,CC BY,Sociology
Journal of Family Issues,SAGE,0192-513X,1552-5481,https://journals.sagepub.com/loi/JFI,Hybrid,CC BY,Sociology
Journal of Family Nursing,SAGE,1074-8407,1552-549X,https://journals.sagepub.com/loi/JFN,Hybrid,CC BY,Public Health
Journal of Fire Sciences,SAGE,0734-9041,1530-8049,https://journals.sagepub.com/loi/JFS,Hybrid,CC BY,Materials Science & Engineering
Journal of General Management,SAGE,0306-3070,1759-6106,https://journals.sagepub.com/loi/GEM,Hybrid,CC BY,Business & Management
Journal of General Music Education,SAGE,2752-7646,2752-7646,https://journals.sagepub.com/loi/GMT,Hybrid,CC BY,Education
Journal of Generic Medicines,SAGE,1741-1343,1741-7090,https://journals.sagepub.com/loi/JGM,Hybrid,CC BY,Other Health Specialties
Journal of Geriatric Psychiatry and Neurology,SAGE,0891-9887,1552-5708,https://journals.sagepub.com/loi/JGP,Hybrid,CC BY,Aging & Gerontology
Journal of Hand Surgery (European Volume),SAGE,1753-1934,2043-6289,https://journals.sagepub.com/loi/JHS,Hybrid,CC BY,"Orthopedics, Biomechanics & Sports Medicine"
Journal of Health and Human Services Administration,SAGE,1079-3739,2168-5509,https://journals.sagepub.com/loi/JHX,Hybrid,CC BY,
Journal of Health and Social Behavior,SAGE,0022-1465,2150-6000,https://journals.sagepub.com/loi/HSB,Hybrid,CC BY,Sociology
Journal of Health Management,SAGE,0972-0634,0973-0729,https://journals.sagepub.com/loi/JHM,Hybrid,CC BY,Business & Management
Journal of Health Psychology,SAGE,1359-1053,1461-7277,https://journals.sagepub.com/loi/HPQ,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Journal of Health Services Research & Policy,SAGE,1355-8196,1758-1060,https://journals.sagepub.com/loi/HSR,Hybrid,CC BY,
Journal of Heritage Management,SAGE,2455-9296,2456-4796,https://journals.sagepub.com/loi/HMJ,Hybrid,CC BY,Cultural Studies
Journal of High Speed Networks,SAGE,0926-6801,1875-8940,https://journals.sagepub.com/loi/HSN,Hybrid,CCBY,"Maths, Physics, Chemistry & Computing"
Journal of Hispanic Higher Education,SAGE,1538-1927,1552-5716,https://journals.sagepub.com/loi/JHH,Hybrid,CC BY,Education
Journal of Histochemistry & Cytochemistry,SAGE,0022-1554,1551-5044,https://journals.sagepub.com/loi/JHC,Hybrid,CC BY,Life & Biomedical Sciences
Journal of Historical Research in Music Education,SAGE,1536-6006,2328-2525,https://journals.sagepub.com/loi/JHR,Hybrid,CC BY,Education
Journal of Holistic Nursing,SAGE,0898-0101,1552-5724,https://journals.sagepub.com/loi/JHN,Hybrid,CC BY,Other Health Specialties
Journal of Hospitality & Tourism Cases,SAGE,2164-9987,2164-9987,https://journals.sagepub.com/loi/HTC,Hybrid,CC BY,
Journal of Hospitality & Tourism Research,SAGE,1096-3480,1557-7554,https://journals.sagepub.com/loi/JHT,Hybrid,CC BY,Marketing & Hospitality
Journal of Human Lactation,SAGE,0890-3344,1552-5732,https://journals.sagepub.com/loi/JHL,Hybrid,CC BY,Nursing
Journal of Human Values,SAGE,0971-6858,0973-0737,https://journals.sagepub.com/loi/JHV,Hybrid,CC BY,Business & Management
Journal of Humanistic Psychology,SAGE,0022-1678,1552-650X,https://journals.sagepub.com/loi/JHP,Hybrid,CC BY,"Psychology, Psychiatry & Counseling"
Journal of Huntington's Disease,SAGE,1879-6397,1879-6400,https://journals.sagepub.com/loi/HUN,Hybrid,CC BY,Clinical Medicine
Journal of Industrial Relations,SAGE,0022-1856,1472-9296,https://journals.sagepub.com/loi/JIR,Hybrid,CC BY,Business & Management
Journal of Infection Prevention,SAGE,1757-1774,1757-1782,https://journals.sagepub.com/loi/BJI,Hybrid,CC BY,Clinical Medicine
Journal of Information Science,SAGE,0165-5515,1741-6485,https://journals.sagepub.com/loi/JIS,Hybrid,CC BY,Vocational & Professional Studies
Journal of Information Technology,SAGE,0268-3962,1466-4437,https://journals.sagepub.com/loi/JIN,Hybrid,CC BY,Science & Society Studies
Journal of Information Technology Teaching Cases,SAGE,2043-8869,2043-8869,https://journals.sagepub.com/loi/TTC,Hybrid,CC BY,Science & Society Studies
Journal of Infrastructure Development,SAGE,0974-9306,0975-5969,https://journals.sagepub.com/loi/JOI,Hybrid,CC BY,Business & Management
Journal of Integrated Design and Process Science,SAGE,1092-0617,1875-8959,https://journals.sagepub.com/loi/JID,Hybrid,CC BY,Materials Science & Engineering
Journal of Intellectual Disabilities,SAGE,1744-6295,1744-6309,https://journals.sagepub.com/loi/JLD,Hybrid,CC BY,Education
Journal of Intelligent & Fuzzy Systems,SAGE,1064-1246,1875-8967,https://journals.sagepub.com/loi/IFS,Hybrid,CC BY,"Maths, Physics, Chemistry & Computing"
Journal of Intelligent Material Systems and Structures,SAGE,1045-389X,1530-8138,https://journals.sagepub.com/loi/JIM,Hybrid,CC BY,Materials Science & Engineering
Journal of Intensive Care Medicine,SAGE,0885-0666,1525-1489,https://journals.sagepub.com/loi/JIC,Hybrid,CC BY,Clinical Medicine
Journal of Interactive Marketing,SAGE,1094-9968,1520-6653,https://journals.sagepub.com/loi/JNM,Hybrid,CC BY,Marketing & Hospitality
Journal of Interdisciplinary Economics,SAGE,0260-1079,2321-5305,https://journals.sagepub.com/loi/JIE,Hybrid,CC BY,Economics & Development Studies
Journal of Interior Design,SAGE,1071-7641,1939-1668,https://journals.sagepub.com/loi/IDX,Hybrid,CC BY,
Journal of International Marketing,SAGE,1069-031X,1547-7215,https://journals.sagepub.com/loi/JIG,Hybrid,CC BY,Marketing & Hospitality
Journal of International Political Theory,SAGE,1755-0882,1755-1722,https://journals.sagepub.com/loi/IPT,Hybrid,CC BY,Political Science & International Relations
Journal of Interpersonal Violence,SAGE,0886-2605,1552-6518,https://journals.sagepub.com/loi/JIV,Hybrid,CC BY,Criminology & Criminal Justice
Journal of Interpretation Research,SAGE,1092-5872,2692-9376,https://journals.sagepub.com/loi/JIX,Hybrid,CC BY,
Journal of Investigative Medicine,SAGE,1081-5589,1708-8267,https://journals.sagepub.com/loi/IMJ,Hybrid,CC BY,Clinical Medicine
Journal of Land and Rural Studies,SAGE,2321-0249,2321-7464,https://journals.sagepub.com/loi/LRS,Hybrid,CC BY,Economics & Development Studies
Journal of Language and Social Psychology,SAGE,0261-927X,1552-6526,https://journals.sagepub.com/loi/JLS,Hybrid,CCBY,Language & Linguistics
Journal of Leadership & Organizational Studies,SAGE,1548-0518,1939-7089,https://journals.sagepub.com/loi/JLO,Hybrid,CCBY,Business & Management
Journal of Learning Disabilities,SAGE,0022-2194,1538-4780,https://journals.sagepub.com/loi/LDX,Hybrid,CC BY,Education
Journal of Librarianship and Information Science,SAGE,0961-0006,1741-6477,https://journals.sagepub.com/loi/LIS,Hybrid,CC BY,Vocational & Professional Studies
Journal of Literacy Research,SAGE,1086-296X,1554-8430,https://journals.sagepub.com/loi/JLR,Hybrid,CC BY,Education
Journal of Macromarketing,SAGE,0276-1467,1552-6534,https://journals.sagepub.com/loi/JMK,Hybrid,CC BY,Marketing & Hospitality
Journal of Management,SAGE,0149-2063,1557-1211,https://journals.sagepub.com/loi/JOM,Hybrid,CC BY,Business & Management
Journal of Management Education,SAGE,1052-5629,1552-6658,https://journals.sagepub.com/loi/JME,Hybrid,CC BY,Business & Management
Journal of Management Inquiry,SAGE,1056-4926,1552-6542,https://journals.sagepub.com/loi/JMI,Hybrid,CC BY,Business & Management
Journal of Management Scientific Reports,SAGE,2755-0311,2755-0311,https://journals.sagepub.com/loi/MSR,Hybrid,CC BY,
Journal of Marketing,SAGE,0022-2429,1547-7185,https://journals.sagepub.com/loi/JMX,Hybrid,CC BY,Marketing & Hospitality
Journal of Marketing Education,SAGE,0273-4753,1552-6550,https://journals.sagepub.com/loi/JMD,Hybrid,CC BY,Marketing & Hospitality
Journal of Marketing Research,SAGE,0022-2437,1547-7193,https://journals.sagepub.com/loi/MRJ,Hybrid,CC BY,Marketing & Hospitality
Journal of Material Culture,SAGE,1359-1835,1460-3586,https://journals.sagepub.com/loi/MCU,Hybrid,CC BY,Anthropology & Archaeology
Journal of Materials: Design and Applications,SAGE,1464-4207,2041-3076,https://journals.sagepub.com/home/pil,Hybrid,CCBY,
Journal of Mechanical Engineering Science,SAGE,0954-4062,2041-2983,https://journals.sagepub.com/home/pic,Hybrid,CCBY,
Journal of Medical Biography,SAGE,0967-7720,1758-1087,https://journals.sagepub.com/loi/JMB,Hybrid,CC BY,
Journal of Medical Screening,SAGE,0969-1413,1475-5793,https://journals.sagepub.com/loi/MSC,Hybrid,CC BY,
Journal of Micromanufacturing,SAGE,2516-5984,2516-5992,https://journals.sagepub.com/loi/JMF,Hybrid,CC BY,Materials Science & Engineering
Journal of Mixed Methods Research,SAGE,1558-6898,1558-6901,https://journals.sagepub.com/loi/MMR,Hybrid,CC BY,Research Methods & Evaluation
Journal of Modern European History,SAGE,1611-8944,2631-9764,https://journals.sagepub.com/loi/MEH,Hybrid,CC BY,History
Journal of Multi-body Dynamics,SAGE,1464-4193,2041-3068,https://journals.sagepub.com/home/pik,Hybrid,CCBY,
Journal of Music Teacher Education,SAGE,1057-0837,1945-0079,https://journals.sagepub.com/loi/JMT,Hybrid,CC BY,Education
Journal of Nanoengineering and Nanosystems,SAGE,1740-3499,2041-3092,https://journals.sagepub.com/home/pin,Hybrid,CCBY,
